Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report,,Before and After
,2017-03-19,Sun,Premier League,Matchweek 29,Home,W 2–1,Tottenham,Southampton,Y*,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,,
,2017-03-25,Sat,WCQ,First round,Away,W 3–1,fr France,lu Luxembourg,Y*,GK,90,,1,,,0,1,1,0,0,Match Report,,
,2017-03-28,Tue,Friendlies (M),Friendlies (M),Home,L 0–2,fr France,es Spain,Y*,GK,90,,2,,,0,1,1,0,0,Match Report,,
,2017-04-01,Sat,Premier League,Matchweek 30,Away,W 2–0,Tottenham,Burnley,Y*,GK,90,2,0,2,100,1,0,0,0,0,Match Report,,
,2017-04-08,Sat,Premier League,Matchweek 32,Home,W 4–0,Tottenham,Watford,Y*,GK,90,2,0,2,100,1,0,0,0,0,Match Report,,
,2017-04-15,Sat,Premier League,Matchweek 33,Home,W 4–0,Tottenham,Bournemouth,Y*,GK,90,1,0,1,100,1,0,0,0,0,Match Report,,
,2017-04-22,Sat,FA Cup,Semi-finals,Away,L 2–4,Tottenham,Chelsea,Y,,90,,4,,,0,1,1,0,0,Match Report,,
,2017-04-26,Wed,Premier League,Matchweek 28,Away,W 1–0,Tottenham,Crystal Palace,Y*,GK,90,1,0,1,100,1,0,0,0,0,Match Report,,
,2017-04-30,Sun,Premier League,Matchweek 35,Home,W 2–0,Tottenham,Arsenal,Y*,GK,90,4,0,4,100,1,0,0,0,0,Match Report,,
,2017-05-05,Fri,Premier League,Matchweek 36,Away,L 0–1,Tottenham,West Ham,Y*,GK,90,5,1,4,80,0,0,0,0,0,Match Report,,
,2017-05-14,Sun,Premier League,Matchweek 37,Home,W 2–1,Tottenham,Manchester Utd,Y*,GK,90,2,1,1,50,0,0,0,0,0,Match Report,,
,2017-05-18,Thu,Premier League,Matchweek 34,Away,W 6–1,Tottenham,Leicester City,Y*,GK,90,5,1,4,80,0,0,0,0,0,Match Report,,
,2017-05-21,Sun,Premier League,Matchweek 38,Away,W 7–1,Tottenham,Hull City,Y*,GK,90,4,1,3,75,0,0,0,0,0,Match Report,,
,2017-06-02,Fri,Friendlies (M),Friendlies (M),Home,W 5–0,fr France,py Paraguay,Y*,GK,90,,0,,,1,0,0,0,0,Match Report,,
,2017-06-09,Fri,WCQ,First round,Away,L 1–2,fr France,se Sweden,Y*,GK,90,,2,,,0,0,0,0,0,Match Report,,
,2017-06-13,Tue,Friendlies (M),Friendlies (M),Home,W 3–2,fr France,eng England,Y*,GK,90,,2,,,0,1,1,0,0,Match Report,,
Emiliano Martinez,2017-10-24,Tue,Copa del Rey,Round of 32,Home,L 0–1,Getafe,Alavés,Y,,90,,1,,,0,,0,0,0,0,Match Report,
,2017-11-30,Thu,Copa del Rey,Round of 32,Away,L 0–3,Getafe,Alavés,Y,,90,,3,,,0,,0,0,0,0,Match Report,
,2018-01-06,Sat,La Liga,Matchweek 18,Away,L 0–2,Getafe,Atlético Madrid,Y,GK,90,5,2,3,60,0,2,0,0,0,0,Match Report,
,2018-01-12,Fri,La Liga,Matchweek 19,Home,W 1–0,Getafe,Málaga,Y,GK,90,2,0,2,100,1,0.3,0,0,0,0,Match Report,
,2018-01-19,Fri,La Liga,Matchweek 20,Home,D 2–2,Getafe,Athletic Club,Y,GK,90,5,2,3,80,0,2.1,1,1,0,0,Match Report,
,2018-02-28,Wed,La Liga,Matchweek 26,Home,W 3–0,Getafe,La Coruña,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,
,2018-03-03,Sat,La Liga,Matchweek 27,Away,L 1–3,Getafe,Real Madrid,Y,GK,90,6,3,3,50,0,2,0,0,0,0,Match Report,
Alisson,2017-08-20,Sun,Serie A,Matchweek 1,Away,W 1–0,Roma,Atalanta,Y,GK,90,6,0,6,100,1,0.6,0,0,0,0,Match Report,
,2017-08-26,Sat,Serie A,Matchweek 2,Home,L 1–3,Roma,Inter,Y,GK,90,8,3,5,62.5,0,2.7,0,0,0,0,Match Report,
,2017-08-31,Thu,WCQ,WCQ — CONMEBOL (M),Home,W 2–0,br Brazil,ec Ecuador,Y,,90,,0,,,1,,0,0,0,0,Match Report,
,2017-09-05,Tue,WCQ,WCQ — CONMEBOL (M),Away,D 1–1,br Brazil,co Colombia,Y,,90,,1,,,0,,0,0,0,0,Match Report,
,2017-09-12,Tue,Champions Lg,Group stage,Home,D 0–0,it Roma,es Atlético Madrid,Y,GK,90,9,0,9,100,1,2.2,0,0,0,0,Match Report,
,2017-09-16,Sat,Serie A,Matchweek 4,Home,W 3–0,Roma,Hellas Verona,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
