Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report,,Before and After
,2017-09-20,Wed,Serie A,Matchweek 5,Away,W 4–0,Roma,Benevento,Y,GK,90,5,0,5,100,1,1,0,0,0,0,Match Report,
,2017-09-23,Sat,Serie A,Matchweek 6,Home,W 3–1,Roma,Udinese,Y,GK,90,5,1,4,80,0,1.5,0,0,0,0,Match Report,
,2017-09-27,Wed,Champions Lg,Group stage,Away,W 2–1,it Roma,az Qarabağ,Y,GK,90,1,1,0,0,0,0.9,0,0,0,0,Match Report,
,2017-10-01,Sun,Serie A,Matchweek 7,Away,W 2–0,Roma,Milan,Y,GK,90,3,0,3,100,1,0.2,0,0,0,0,Match Report,
,2017-10-05,Thu,WCQ,WCQ — CONMEBOL (M),Away,D 0–0,br Brazil,bo Bolivia,Y,,90,,0,,,1,,0,0,0,0,Match Report,
,2017-10-14,Sat,Serie A,Matchweek 8,Home,L 0–1,Roma,Napoli,Y,GK,90,6,1,5,83.3,0,0.9,0,0,0,0,Match Report,
,2017-10-18,Wed,Champions Lg,Group stage,Away,D 3–3,it Roma,eng Chelsea,Y,GK,90,4,3,1,25,0,1.7,0,0,0,0,Match Report,
,2017-10-22,Sun,Serie A,Matchweek 9,Away,W 1–0,Roma,Torino,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
,2017-10-25,Wed,Serie A,Matchweek 10,Home,W 1–0,Roma,Crotone,Y,GK,90,2,0,2,100,1,0.3,0,0,0,0,Match Report,
,2017-10-28,Sat,Serie A,Matchweek 11,Home,W 1–0,Roma,Bologna,Y,GK,90,2,0,2,100,1,0.2,0,0,0,0,Match Report,
,2017-10-31,Tue,Champions Lg,Group stage,Home,W 3–0,it Roma,eng Chelsea,Y,GK,90,6,0,6,100,1,0.9,0,0,0,0,Match Report,
,2017-11-05,Sun,Serie A,Matchweek 12,Away,W 4–2,Roma,Fiorentina,Y,GK,90,6,2,4,66.7,0,1.3,0,0,0,0,Match Report,
,2017-11-10,Fri,Friendlies (M),Friendlies (M),Away,W 3–1,br Brazil,jp Japan,Y,GK,45,,,,,0,,0,0,0,0,Match Report,
,2017-11-14,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,br Brazil,eng England,Y,GK,90,,0,,,1,,0,0,0,0,Match Report,
,2017-11-18,Sat,Serie A,Matchweek 13,Home,W 2–1,Roma,Lazio,Y,GK,90,2,1,1,100,0,1.2,1,1,0,0,Match Report,
,2017-11-22,Wed,Champions Lg,Group stage,Away,L 0–2,it Roma,es Atlético Madrid,Y,GK,90,5,2,3,60,0,1.2,0,0,0,0,Match Report,
,2017-11-26,Sun,Serie A,Matchweek 14,Away,D 1–1,Roma,Genoa,Y,GK,90,4,1,3,100,0,1.5,1,1,0,0,Match Report,
,2017-12-01,Fri,Serie A,Matchweek 15,Home,W 3–1,Roma,SPAL,Y,GK,90,2,1,0,50,0,1,1,0,1,0,Match Report,
,2017-12-05,Tue,Champions Lg,Group stage,Home,W 1–0,it Roma,az Qarabağ,Y,GK,90,2,0,2,100,1,0.4,0,0,0,0,Match Report,
,2017-12-10,Sun,Serie A,Matchweek 16,Away,D 0–0,Roma,Chievo,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,
,2017-12-16,Sat,Serie A,Matchweek 17,Home,W 1–0,Roma,Cagliari,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
,2017-12-23,Sat,Serie A,Matchweek 18,Away,L 0–1,Roma,Juventus,Y,GK,90,8,1,7,87.5,0,1.7,0,0,0,0,Match Report,
,2017-12-30,Sat,Serie A,Matchweek 19,Home,D 1–1,Roma,Sassuolo,Y,GK,90,5,1,4,80,0,0.7,0,0,0,0,Match Report,
,2018-01-06,Sat,Serie A,Matchweek 20,Home,L 1–2,Roma,Atalanta,Y,GK,90,4,2,2,50,0,1.3,0,0,0,0,Match Report,
,2018-01-21,Sun,Serie A,Matchweek 21,Away,D 1–1,Roma,Inter,Y,GK,90,7,1,6,85.7,0,1.7,0,0,0,0,Match Report,
,2018-01-24,Wed,Serie A,Matchweek 3,Away,D 1–1,Roma,Sampdoria,Y,GK,90,3,1,2,100,0,1.5,1,1,0,0,Match Report,
,2018-01-28,Sun,Serie A,Matchweek 22,Home,L 0–1,Roma,Sampdoria,Y,GK,90,10,1,9,90,0,2.5,0,0,0,0,Match Report,
,2018-02-04,Sun,Serie A,Matchweek 23,Away,W 1–0,Roma,Hellas Verona,Y,GK,90,1,0,1,100,1,0,0,0,0,0,Match Report,
,2018-02-11,Sun,Serie A,Matchweek 24,Home,W 5–2,Roma,Benevento,Y,GK,90,3,2,1,33.3,0,2.2,0,0,0,0,Match Report,
,2018-02-17,Sat,Serie A,Matchweek 25,Away,W 2–0,Roma,Udinese,Y,GK,90,3,0,3,100,1,0.6,0,0,0,0,Match Report,
,2018-02-21,Wed,Champions Lg,Round of 16,Away,L 1–2,it Roma,ua Shakhtar,Y,GK,90,8,2,6,75,0,2.1,0,0,0,0,Match Report,
,2018-02-25,Sun,Serie A,Matchweek 26,Home,L 0–2,Roma,Milan,Y,GK,90,5,2,3,60,0,1.5,0,0,0,0,Match Report,
,2018-03-03,Sat,Serie A,Matchweek 27,Away,W 4–2,Roma,Napoli,Y,GK,90,12,2,10,83.3,0,3,0,0,0,0,Match Report,
,2018-03-09,Fri,Serie A,Matchweek 28,Home,W 3–0,Roma,Torino,Y,GK,90,3,0,3,100,1,0.7,0,0,0,0,Match Report,
,2018-03-13,Tue,Champions Lg,Round of 16,Home,W 1–0,it Roma,ua Shakhtar,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
,2018-03-18,Sun,Serie A,Matchweek 29,Away,W 2–0,Roma,Crotone,Y,GK,90,3,0,3,100,1,0.3,0,0,0,0,Match Report,
,2018-03-23,Fri,Friendlies (M),Friendlies (M),Away,W 3–0,br Brazil,ru Russia,Y*,GK,90,,0,,,1,,0,0,0,0,Match Report,
,2018-03-27,Tue,Friendlies (M),Friendlies (M),Away,W 1–0,br Brazil,de Germany,Y,GK,90,,0,,,1,,0,0,0,0,Match Report,
,2018-03-31,Sat,Serie A,Matchweek 30,Away,D 1–1,Roma,Bologna,Y,GK,90,1,1,0,0,0,0.6,0,0,0,0,Match Report,
,2018-04-04,Wed,Champions Lg,Quarter-finals,Away,L 1–4,it Roma,es Barcelona,Y,GK,90,9,4,7,55.6,0,2.6,0,0,0,0,Match Report,
,2018-04-07,Sat,Serie A,Matchweek 31,Home,L 0–2,Roma,Fiorentina,Y,GK,90,2,2,0,0,0,1.1,0,0,0,0,Match Report,
,2018-04-10,Tue,Champions Lg,Quarter-finals,Home,W 3–0,it Roma,es Barcelona,Y,GK,90,3,0,3,100,1,0.5,0,0,0,0,Match Report,
,2018-04-15,Sun,Serie A,Matchweek 32,Away,D 0–0,Roma,Lazio,Y,GK,90,1,0,1,100,1,0,0,0,0,0,Match Report,
,2018-04-18,Wed,Serie A,Matchweek 33,Home,W 2–1,Roma,Genoa,Y,GK,90,1,1,0,0,0,0.4,0,0,0,0,Match Report,
,2018-04-21,Sat,Serie A,Matchweek 34,Away,W 3–0,Roma,SPAL,Y,GK,90,3,0,3,100,1,0.6,0,0,0,0,Match Report,
,2018-04-24,Tue,Champions Lg,Semi-finals,Away,L 2–5,it Roma,eng Liverpool,Y,GK,90,11,5,6,54.5,0,4.4,0,0,0,0,Match Report,
,2018-04-28,Sat,Serie A,Matchweek 35,Home,W 4–1,Roma,Chievo,Y,GK,90,6,1,4,83.3,0,2,1,0,1,0,Match Report,
,2018-05-02,Wed,Champions Lg,Semi-finals,Home,W 4–2,it Roma,eng Liverpool,Y,GK,90,5,2,3,60,0,1.9,0,0,0,0,Match Report,
,2018-05-06,Sun,Serie A,Matchweek 36,Away,W 1–0,Roma,Cagliari,Y,GK,90,2,0,2,100,1,0.6,0,0,0,0,Match Report,
,2018-05-13,Sun,Serie A,Matchweek 37,Home,D 0–0,Roma,Juventus,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
,2018-06-03,Sun,Friendlies (M),Friendlies (M),Home,W 2–0,br Brazil,hr Croatia,Y,GK,90,,0,,,1,,0,0,0,0,Match Report,
,2018-06-10,Sun,Friendlies (M),Friendlies (M),Away,W 3–0,br Brazil,at Austria,Y,GK,90,,0,,,1,,0,0,0,0,Match Report,
,2018-06-17,Sun,World Cup,Group stage,Neutral,D 1–1,br Brazil,ch Switzerland,Y,GK,90,2,1,1,50,0,1.1,0,0,0,0,Match Report,
,2018-06-22,Fri,World Cup,Group stage,Neutral,W 2–0,br Brazil,cr Costa Rica,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
,2018-06-27,Wed,World Cup,Group stage,Neutral,W 2–0,br Brazil,rs Serbia,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,
Ederson,2017-08-12,Sat,Premier League,Matchweek 1,Away,W 2–0,Manchester City,Brighton,Y,GK,90,2,0,2,100,1,0.2,0,0,0,0,Match Report,
,2017-08-21,Mon,Premier League,Matchweek 2,Home,D 1–1,Manchester City,Everton,Y,GK,90,2,1,1,50,0,0.8,0,0,0,0,Match Report,
,2017-08-26,Sat,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Bournemouth,Y,GK,90,3,1,2,66.7,0,1.2,0,0,0,0,Match Report,
,2017-09-09,Sat,Premier League,Matchweek 4,Home,W 5–0,Manchester City,Liverpool,Y,GK,44,3,,3,,,1.1,,,,,Match Report,
,2017-09-13,Wed,Champions Lg,Group stage,Away,W 4–0,eng Manchester City,nl Feyenoord,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,
,2017-09-16,Sat,Premier League,Matchweek 5,Away,W 6–0,Manchester City,Watford,Y,GK,90,1,0,1,100,1,0.6,0,0,0,0,Match Report,
,2017-09-23,Sat,Premier League,Matchweek 6,Home,W 5–0,Manchester City,Crystal Palace,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
,2017-09-26,Tue,Champions Lg,Group stage,Home,W 2–0,eng Manchester City,ua Shakhtar,Y,GK,90,2,0,2,100,1,0.6,0,0,0,0,Match Report,
,2017-09-30,Sat,Premier League,Matchweek 7,Away,W 1–0,Manchester City,Chelsea,Y,GK,90,2,0,2,100,1,0.3,0,0,0,0,Match Report,
,2017-10-10,Tue,WCQ,WCQ — CONMEBOL (M),Home,W 3–0,br Brazil,cl Chile,Y,,90,,0,,,1,,0,0,0,0,Match Report,
,2017-10-14,Sat,Premier League,Matchweek 8,Home,W 7–2,Manchester City,Stoke City,Y,GK,90,1,2,0,-100,0,0,0,0,0,0,Match Report,
,2017-10-17,Tue,Champions Lg,Group stage,Home,W 2–1,eng Manchester City,it Napoli,Y,GK,90,4,1,2,100,0,2.1,2,1,1,0,Match Report,
,2017-10-21,Sat,Premier League,Matchweek 9,Home,W 3–0,Manchester City,Burnley,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
,2017-10-28,Sat,Premier League,Matchweek 10,Away,W 3–2,Manchester City,West Brom,Y,GK,90,4,2,2,50,0,1.9,0,0,0,0,Match Report,
,2017-11-01,Wed,Champions Lg,Group stage,Away,W 4–2,eng Manchester City,it Napoli,Y,GK,90,6,2,4,83.3,0,3.2,1,1,0,0,Match Report,
,2017-11-05,Sun,Premier League,Matchweek 11,Home,W 3–1,Manchester City,Arsenal,Y,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,Match Report,
,2017-11-18,Sat,Premier League,Matchweek 12,Away,W 2–0,Manchester City,Leicester City,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
,2017-11-21,Tue,Champions Lg,Group stage,Home,W 1–0,eng Manchester City,nl Feyenoord,Y,GK,90,3,0,3,100,1,0.2,0,0,0,0,Match Report,
,2017-11-26,Sun,Premier League,Matchweek 13,Away,W 2–1,Manchester City,Huddersfield,Y,GK,90,0,1,0,,0,0,0,0,0,0,Match Report,
,2017-11-29,Wed,Premier League,Matchweek 14,Home,W 2–1,Manchester City,Southampton,Y,GK,90,2,1,1,50,0,1.1,0,0,0,0,Match Report,
,2017-12-03,Sun,Premier League,Matchweek 15,Home,W 2–1,Manchester City,West Ham,Y,GK,90,4,1,3,75,0,0.6,0,0,0,0,Match Report,
,2017-12-06,Wed,Champions Lg,Group stage,Away,L 1–2,eng Manchester City,ua Shakhtar,Y,GK,90,6,2,4,66.7,0,2.1,0,0,0,0,Match Report,
,2017-12-10,Sun,Premier League,Matchweek 16,Away,W 2–1,Manchester City,Manchester Utd,Y,GK,90,5,1,4,80,0,1.8,0,0,0,0,Match Report,
,2017-12-13,Wed,Premier League,Matchweek 17,Away,W 4–0,Manchester City,Swansea City,Y,GK,90,3,0,3,100,1,0.3,0,0,0,0,Match Report,
,2017-12-16,Sat,Premier League,Matchweek 18,Home,W 4–1,Manchester City,Tottenham,Y,GK,90,2,1,1,50,0,0.7,0,0,0,0,Match Report,
,2017-12-23,Sat,Premier League,Matchweek 19,Home,W 4–0,Manchester City,Bournemouth,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,
,2017-12-27,Wed,Premier League,Matchweek 20,Away,W 1–0,Manchester City,Newcastle Utd,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,
,2017-12-31,Sun,Premier League,Matchweek 21,Away,D 0–0,Manchester City,Crystal Palace,Y,GK,90,1,0,0,100,1,0.9,1,0,1,0,Match Report,
,2018-01-02,Tue,Premier League,Matchweek 22,Home,W 3–1,Manchester City,Watford,Y,GK,90,4,1,3,75,0,1.5,0,0,0,0,Match Report,
,2018-01-14,Sun,Premier League,Matchweek 23,Away,L 3–4,Manchester City,Liverpool,Y,GK,90,7,4,3,42.9,0,2.1,0,0,0,0,Match Report,
,2018-01-20,Sat,Premier League,Matchweek 24,Home,W 3–1,Manchester City,Newcastle Utd,Y,GK,90,4,1,3,75,0,0.8,0,0,0,0,Match Report,
,2018-01-31,Wed,Premier League,Matchweek 25,Home,W 3–0,Manchester City,West Brom,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,
,2018-02-03,Sat,Premier League,Matchweek 26,Away,D 1–1,Manchester City,Burnley,Y,GK,90,3,1,2,66.7,0,1.4,0,0,0,0,Match Report,
,2018-02-10,Sat,Premier League,Matchweek 27,Home,W 5–1,Manchester City,Leicester City,Y,GK,90,2,1,1,50,0,0.3,0,0,0,0,Match Report,
,2018-02-13,Tue,Champions Lg,Round of 16,Away,W 4–0,eng Manchester City,ch Basel,Y,GK,90,3,0,3,100,1,0.8,0,0,0,0,Match Report,
,2018-03-01,Thu,Premier League,Matchweek 28,Away,W 3–0,Manchester City,Arsenal,Y,GK,90,5,0,4,100,1,1.4,1,0,1,0,Match Report,
,2018-03-04,Sun,Premier League,Matchweek 29,Home,W 1–0,Manchester City,Chelsea,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
,2018-03-12,Mon,Premier League,Matchweek 30,Away,W 2–0,Manchester City,Stoke City,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,
,2018-03-31,Sat,Premier League,Matchweek 32,Away,W 3–1,Manchester City,Everton,Y,GK,90,2,1,1,50,0,0.6,0,0,0,0,Match Report,
,2018-04-04,Wed,Champions Lg,Quarter-finals,Away,L 0–3,eng Manchester City,eng Liverpool,Y,GK,90,5,3,2,40,0,2.5,0,0,0,0,Match Report,
,2018-04-07,Sat,Premier League,Matchweek 33,Home,L 2–3,Manchester City,Manchester Utd,Y,GK,90,4,3,1,25,0,2,0,0,0,0,Match Report,
,2018-04-10,Tue,Champions Lg,Quarter-finals,Home,L 1–2,eng Manchester City,eng Liverpool,Y,GK,90,3,2,1,33.3,0,1.3,0,0,0,0,Match Report,
,2018-04-14,Sat,Premier League,Matchweek 34,Away,W 3–1,Manchester City,Tottenham,Y,GK,90,3,1,2,66.7,0,0.5,0,0,0,0,Match Report,
,2018-04-22,Sun,Premier League,Matchweek 35,Home,W 5–0,Manchester City,Swansea City,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,
,2018-04-29,Sun,Premier League,Matchweek 36,Away,W 4–1,Manchester City,West Ham,Y,GK,90,1,1,0,0,0,0.2,0,0,0,0,Match Report,
,2018-05-06,Sun,Premier League,Matchweek 37,Home,D 0–0,Manchester City,Huddersfield,Y,GK,90,3,0,3,100,1,0.6,0,0,0,0,Match Report,
,2018-05-13,Sun,Premier League,Matchweek 38,Away,W 1–0,Manchester City,Southampton,N,,,,,,,,,,,,,Match Report,
,,,,,,38-4-5,,,46/47,,"4,094",113,36,76,69.1,21,36.8,5,2,3,0,,
