Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Match Report,B/A Rule
Alisson,2017-12-30,Sat,Serie A,Matchweek 19,Home,D 1–1,Roma,Sassuolo,Y,GK,90,5,1,4,80,0,0.7,0,0,0,0,Match Report,FALSE
Alisson,2018-01-06,Sat,Serie A,Matchweek 20,Home,L 1–2,Roma,Atalanta,Y,GK,90,4,2,2,50,0,1.3,0,0,0,0,Match Report,FALSE
Alisson,2018-01-21,Sun,Serie A,Matchweek 21,Away,D 1–1,Roma,Inter,Y,GK,90,7,1,6,85.7,0,1.7,0,0,0,0,Match Report,FALSE
Alisson,2018-01-24,Wed,Serie A,Matchweek 3,Away,D 1–1,Roma,Sampdoria,Y,GK,90,3,1,2,100,0,1.5,1,1,0,0,Match Report,FALSE
Alisson,2018-01-28,Sun,Serie A,Matchweek 22,Home,L 0–1,Roma,Sampdoria,Y,GK,90,10,1,9,90,0,2.5,0,0,0,0,Match Report,FALSE
Alisson,2018-02-04,Sun,Serie A,Matchweek 23,Away,W 1–0,Roma,Hellas Verona,Y,GK,90,1,0,1,100,1,0,0,0,0,0,Match Report,FALSE
Alisson,2018-02-11,Sun,Serie A,Matchweek 24,Home,W 5–2,Roma,Benevento,Y,GK,90,3,2,1,33.3,0,2.2,0,0,0,0,Match Report,FALSE
Alisson,2018-02-17,Sat,Serie A,Matchweek 25,Away,W 2–0,Roma,Udinese,Y,GK,90,3,0,3,100,1,0.6,0,0,0,0,Match Report,FALSE
Alisson,2018-02-21,Wed,Champions Lg,Round of 16,Away,L 1–2,it Roma,ua Shakhtar,Y,GK,90,8,2,6,75,0,2.1,0,0,0,0,Match Report,FALSE
Alisson,2018-02-25,Sun,Serie A,Matchweek 26,Home,L 0–2,Roma,Milan,Y,GK,90,5,2,3,60,0,1.5,0,0,0,0,Match Report,FALSE
Alisson,2018-03-03,Sat,Serie A,Matchweek 27,Away,W 4–2,Roma,Napoli,Y,GK,90,12,2,10,83.3,0,3,0,0,0,0,Match Report,FALSE
Alisson,2018-03-09,Fri,Serie A,Matchweek 28,Home,W 3–0,Roma,Torino,Y,GK,90,3,0,3,100,1,0.7,0,0,0,0,Match Report,FALSE
Alisson,2018-03-13,Tue,Champions Lg,Round of 16,Home,W 1–0,it Roma,ua Shakhtar,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,FALSE
Alisson,2018-03-18,Sun,Serie A,Matchweek 29,Away,W 2–0,Roma,Crotone,Y,GK,90,3,0,3,100,1,0.3,0,0,0,0,Match Report,FALSE
Alisson,2018-03-23,Fri,Friendlies (M),Friendlies (M),Away,W 3–0,br Brazil,ru Russia,Y*,GK,90,,0,,,1,,0,0,0,0,Match Report,FALSE
Alisson,2018-03-27,Tue,Friendlies (M),Friendlies (M),Away,W 1–0,br Brazil,de Germany,Y,GK,90,,0,,,1,,0,0,0,0,Match Report,FALSE
Alisson,2018-03-31,Sat,Serie A,Matchweek 30,Away,D 1–1,Roma,Bologna,Y,GK,90,1,1,0,0,0,0.6,0,0,0,0,Match Report,FALSE
Alisson,2018-04-04,Wed,Champions Lg,Quarter-finals,Away,L 1–4,it Roma,es Barcelona,Y,GK,90,9,4,7,55.6,0,2.6,0,0,0,0,Match Report,FALSE
Alisson,2018-04-07,Sat,Serie A,Matchweek 31,Home,L 0–2,Roma,Fiorentina,Y,GK,90,2,2,0,0,0,1.1,0,0,0,0,Match Report,FALSE
Alisson,2018-04-10,Tue,Champions Lg,Quarter-finals,Home,W 3–0,it Roma,es Barcelona,Y,GK,90,3,0,3,100,1,0.5,0,0,0,0,Match Report,FALSE
Alisson,2018-04-15,Sun,Serie A,Matchweek 32,Away,D 0–0,Roma,Lazio,Y,GK,90,1,0,1,100,1,0,0,0,0,0,Match Report,FALSE
